client_number,first_name,last_name,email,mobile_number,date_of_birth,gender,province,city,signup_date,event_type,event_date,account_number,product_type,account_status,credit_limit,loan_amount,account_balance,channel,interaction_type,resolved_flag,transaction_type,amount
CL01434,Lindiwe,Steyn,lindiwe.steyn22@telkomsa.net,0652984200,1971-10-17,F,Northern Cape,Kimberley,2022-01-21,Product Enrollment,2022-01-24,AC001907,Personal Loan,Active,,100000,43496.42,,,,,
CL01320,Sam,De Villiers, sam.de villiers82@webmail.co.za ,0726253006,1962-02-06,F,North West,Mahikeng,2022-01-17,Product Enrollment,2022-03-05,AC001751,Credit Card,Active,5000,,579.06,,,,,
CL00300,Kagiso,Mabaso,kagiso.mabaso79@yahoo.com,0783452813,1983-08-06,F,Northern Cape,Kimberley,2022-01-22,Product Enrollment,2022-03-12,AC000393,Credit Card,Active,5000,,1966.85,,,,,
CL00057,Mpho,Nkosi,mpho.nkosi87@webmail.co.za,0768419378,1999-08-09,M,Gauteng,Pretoria,2022-02-12,Product Enrollment,2022-03-25,AC000075,Savings,Active,,,33538.03,,,,,
CL00639,Johan,Mahlangu,johan.mahlangu69@telkomsa.net,27823081873,1984-05-12,M,Gauteng,Pretoria,2022-02-10,Product Enrollment,2022-03-25,AC000845,Savings,Active,,,961.78,,,,,
CL01434,Lindiwe,Steyn,lindiwe.steyn22@telkomsa.net,0652984200,1971-10-17,F,Northern Cape,Kimberley,2022-01-21,Product Enrollment,2022-03-27,AC001909,Credit Card,Suspended,30000,,6263.85,,,,,
CL00470,Ayesha,Nkosi,AYESHA.NKOSI66@TELKOMSA.NET,0626060776,1951-10-25,F,North West,Mahikeng,2022-03-09,Product Enrollment,2022-03-28,AC000626,Personal Loan,Active,,75000,31831.12,,,,,
CL00299,Sipho,Zulu,sipho.zulu70@telkomsa.net,+27675882155,2000-12-07,F,Western Cape,Paarl,2022-03-17,Product Enrollment,2022-04-02,AC000391,Savings,Active,,,38892.94,,,,,
CL00111,Ilse,Ndlovu,ilse.ndlovu48@webmail.co.za,,1983-01-11,M,Northern Cape,Kimberley,2022-03-31,Product Enrollment,2022-04-05,AC000144,Personal Loan,Active,,100000,3251.13,,,,,
CL00057,Mpho,Nkosi,mpho.nkosi87@webmail.co.za,0768419378,1999-08-09,M,Gauteng,Pretoria,2022-02-12,Transaction,2022-04-11,AC000075,Savings,,,,,Online Banking,,,EFT Payment,7724.54
